"" "" "maxI_blocking21" "maxI_blocking14" "maxI_blocking7" "maxi_blocking21" "maxi_blocking14" "maxi_blocking7"
"1" "1" "0.19-0.1" "25" "38.13" "38.1" "13" "10" "10"
"2" "1" "0.28-0.08" "35.82" "50.67" "50.84" "12" "10" "10"
"3" "1" "0.22-0.02" "50.11" "67.67" "67.17" "18" "16" "15"
"4" "1" "0.31-0.1" "33.99" "48.58" "49.57" "10" "9" "9"
"5" "2" "0.19-0.1" "25.06" "37.78" "38.1" "13" "10" "10"
"6" "2" "0.28-0.08" "35.41" "51.03" "51.01" "12" "10" "10"
"7" "2" "0.22-0.02" "50.31" "67.53" "66.58" "18" "16" "15"
"8" "2" "0.31-0.1" "34.31" "49.47" "49.56" "11" "9" "9"
